,datetime,detid,flow
485,2015-10-07 07:03:00,K1D43,640.0
486,2015-10-07 07:06:00,K1D43,740.0
487,2015-10-07 07:09:00,K1D43,920.0
488,2015-10-07 07:12:00,K1D43,640.0
489,2015-10-07 07:15:00,K1D43,960.0
490,2015-10-07 07:18:00,K1D43,580.0
491,2015-10-07 07:21:00,K1D43,700.0
492,2015-10-07 07:24:00,K1D43,940.0
493,2015-10-07 07:27:00,K1D43,640.0
494,2015-10-07 07:30:00,K1D43,660.0
495,2015-10-07 07:33:00,K1D43,720.0
496,2015-10-07 07:36:00,K1D43,780.0
497,2015-10-07 07:39:00,K1D43,880.0
498,2015-10-07 07:42:00,K1D43,800.0
499,2015-10-07 07:45:00,K1D43,700.0
500,2015-10-07 07:48:00,K1D43,700.0
501,2015-10-07 07:51:00,K1D43,660.0
502,2015-10-07 07:54:00,K1D43,680.0
503,2015-10-07 07:57:00,K1D43,400.0
504,2015-10-07 08:00:00,K1D43,600.0
505,2015-10-07 08:03:00,K1D43,580.0
506,2015-10-07 08:06:00,K1D43,600.0
507,2015-10-07 08:09:00,K1D43,820.0
508,2015-10-07 08:12:00,K1D43,440.0
509,2015-10-07 08:15:00,K1D43,300.0
510,2015-10-07 08:18:00,K1D43,580.0
511,2015-10-07 08:21:00,K1D43,380.0
512,2015-10-07 08:24:00,K1D43,520.0
513,2015-10-07 08:27:00,K1D43,540.0
514,2015-10-07 08:30:00,K1D43,400.0
515,2015-10-07 08:33:00,K1D43,440.0
516,2015-10-07 08:36:00,K1D43,580.0
517,2015-10-07 08:39:00,K1D43,720.0
518,2015-10-07 08:42:00,K1D43,540.0
519,2015-10-07 08:45:00,K1D43,720.0
520,2015-10-07 08:48:00,K1D43,600.0
521,2015-10-07 08:51:00,K1D43,600.0
522,2015-10-07 08:54:00,K1D43,680.0
523,2015-10-07 08:57:00,K1D43,240.0
524,2015-10-07 09:00:00,K1D43,700.0
525,2015-10-07 09:03:00,K1D43,360.0
526,2015-10-07 09:06:00,K1D43,560.0
527,2015-10-07 09:09:00,K1D43,500.0
528,2015-10-07 09:12:00,K1D43,380.0
529,2015-10-07 09:15:00,K1D43,560.0
530,2015-10-07 09:18:00,K1D43,520.0
531,2015-10-07 09:21:00,K1D43,320.0
532,2015-10-07 09:24:00,K1D43,400.0
533,2015-10-07 09:27:00,K1D43,300.0
534,2015-10-07 09:30:00,K1D43,460.0
535,2015-10-07 09:33:00,K1D43,380.0
536,2015-10-07 09:36:00,K1D43,380.0
537,2015-10-07 09:39:00,K1D43,600.0
538,2015-10-07 09:42:00,K1D43,460.0
539,2015-10-07 09:45:00,K1D43,520.0
540,2015-10-07 09:48:00,K1D43,300.0
541,2015-10-07 09:51:00,K1D43,500.0
542,2015-10-07 09:54:00,K1D43,560.0
543,2015-10-07 09:57:00,K1D43,320.0
544,2015-10-07 10:00:00,K1D43,600.0
545,2015-10-07 10:03:00,K1D43,360.0
546,2015-10-07 10:06:00,K1D43,320.0
547,2015-10-07 10:09:00,K1D43,600.0
548,2015-10-07 10:12:00,K1D43,500.0
549,2015-10-07 10:15:00,K1D43,340.0
550,2015-10-07 10:18:00,K1D43,400.0
551,2015-10-07 10:21:00,K1D43,480.0
552,2015-10-07 10:24:00,K1D43,520.0
553,2015-10-07 10:27:00,K1D43,320.0
554,2015-10-07 10:30:00,K1D43,580.0
555,2015-10-07 10:33:00,K1D43,520.0
556,2015-10-07 10:36:00,K1D43,620.0
557,2015-10-07 10:39:00,K1D43,540.0
558,2015-10-07 10:42:00,K1D43,480.0
559,2015-10-07 10:45:00,K1D43,580.0
560,2015-10-07 10:48:00,K1D43,340.0
561,2015-10-07 10:51:00,K1D43,380.0
562,2015-10-07 10:54:00,K1D43,520.0
563,2015-10-07 10:57:00,K1D43,600.0
564,2015-10-07 11:00:00,K1D43,380.0
565,2015-10-07 11:03:00,K1D43,440.0
566,2015-10-07 11:06:00,K1D43,580.0
567,2015-10-07 11:09:00,K1D43,520.0
568,2015-10-07 11:12:00,K1D43,500.0
569,2015-10-07 11:15:00,K1D43,440.0
570,2015-10-07 11:18:00,K1D43,660.0
571,2015-10-07 11:21:00,K1D43,440.0
572,2015-10-07 11:24:00,K1D43,540.0
573,2015-10-07 11:27:00,K1D43,520.0
574,2015-10-07 11:30:00,K1D43,660.0
575,2015-10-07 11:33:00,K1D43,400.0
576,2015-10-07 11:36:00,K1D43,700.0
577,2015-10-07 11:39:00,K1D43,540.0
578,2015-10-07 11:42:00,K1D43,500.0
579,2015-10-07 11:45:00,K1D43,620.0
